000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000899	00000a44
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a58	00000ac4
00000acc	000007df
000007ec	000007f4
00000849	000007ff
00000849	000007ff
00000849	000007ff
0000084d	00000851
0000087d	00000885
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000895	0000089d
000008dd	000008a8
000008dd	000008a8
000008dd	000008a8
000008e1	000008e8
000008ea	00000890
00000899	00000a44
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a54	00000a5c
00000a69	00000a71
00000abc	00000a87
00000abc	00000a87
00000abc	00000a87
00000ac0	00000aea
00000aed	00000a4f
00000a58	00000ac4
00000acc	000007df
000007f0	00000af6
00000b01	00000b05
00000b12	00001037
0000104e	00000b16
00000b40	000000d4
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000fa	00000134
00000145	000000e6
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000fa	00000134
00000145	000000e6
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000fa	00000134
00000145	000000e6
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000f6	000000fe
0000012d	000000f1
000000fa	00000134
00000149	00000152
0000015f	00000b42
00000b5e	00000b66
00000b75	00000244
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
0000026a	000002a1
000002b2	00000256
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
0000026a	000002a1
000002b2	00000256
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
0000026a	000002a1
000002b2	00000256
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
00000266	0000026e
0000029a	00000261
0000026a	000002a1
000002b6	000002bf
000002cc	00000b77
00000b90	00000163
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000189	000001d9
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001ed	00000215
00000226	00000175
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000189	000001d9
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001ed	00000215
00000226	00000175
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000185	0000018d
000001d5	00000180
00000189	000001d9
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001e9	000001f1
0000020e	000001e4
000001ed	00000215
0000022a	00000233
00000240	00000b92
00000ba1	000002d0
000002f5	000002fd
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e5	000003ec
000003f6	000002eb
000002f5	000002fd
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e5	000003ec
000003f6	000002eb
000002f5	000002fd
00000341	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000343
00000373	0000001b
00000031	00000039
00000048	00000050
0000008e	000000c3
000000d0	00000375
000003e1	0000030c
00000341	0000001b
